epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,634.661,0.51135,0.93883,0.45181,1.06936,0.91793,0.74207,0.79328,0.66063,0.9196,0.74434,0.80046,0.57014,0.76923,2.20491,0.91821,1.15381,0.000887356,0.000887356,0.000887356
63,644.864,0.51077,0.97127,0.47206,1.06624,0.9029,0.75299,0.77084,0.63551,0.89658,0.76675,0.77562,0.56595,0.73112,2.22916,1.01431,1.12551,0.000883689,0.000883689,0.000883689
64,655.015,0.52366,0.96986,0.47288,1.07512,0.85893,0.76859,0.78811,0.6442,0.87014,0.77616,0.79689,0.57455,0.79944,2.05507,0.86847,1.19408,0.000880023,0.000880023,0.000880023
65,665.161,0.52206,0.98332,0.48064,1.07755,0.8655,0.73745,0.78372,0.64113,0.88382,0.73765,0.79718,0.55257,0.8205,2.10657,0.98735,1.2099,0.000876357,0.000876357,0.000876357
66,675.349,0.51946,0.94432,0.46395,1.07893,0.89874,0.73639,0.80324,0.66463,0.89979,0.73651,0.79751,0.56952,0.72679,2.11545,0.8885,1.09963,0.000872691,0.000872691,0.000872691
67,685.558,0.52322,0.96242,0.48199,1.07908,0.86822,0.74201,0.77029,0.64358,0.88326,0.74024,0.7816,0.5599,0.71164,1.94688,0.99611,1.09877,0.000869024,0.000869024,0.000869024
68,695.82,0.51481,0.95785,0.47094,1.07112,0.87721,0.77616,0.80861,0.66151,0.88641,0.78569,0.82262,0.59219,0.72723,1.90265,0.89239,1.11911,0.000865358,0.000865358,0.000865358
69,706.04,0.51353,0.96577,0.47417,1.06136,0.8481,0.77237,0.80937,0.66816,0.89791,0.75057,0.81734,0.59326,0.68744,2.14702,0.86119,1.07982,0.000861692,0.000861692,0.000861692
70,716.394,0.51302,0.96225,0.4635,1.0671,0.86037,0.77898,0.82179,0.67953,0.89257,0.75351,0.82452,0.60279,0.71751,2.00768,0.86663,1.10549,0.000858025,0.000858025,0.000858025
71,726.747,0.52002,0.95462,0.47492,1.06862,0.89362,0.76127,0.80841,0.67321,0.90226,0.7694,0.81382,0.59969,0.71674,1.84582,0.89076,1.08855,0.000854359,0.000854359,0.000854359
72,736.903,0.51649,0.94954,0.47119,1.06488,0.90337,0.75343,0.8227,0.68084,0.91515,0.75227,0.82875,0.61618,0.73738,1.9188,0.87699,1.12973,0.000850693,0.000850693,0.000850693
73,747.21,0.51337,0.96282,0.46443,1.06928,0.91,0.76949,0.83241,0.6856,0.92197,0.78089,0.84437,0.60298,0.69112,1.74866,0.77241,1.06223,0.000847026,0.000847026,0.000847026
74,757.401,0.50909,0.96651,0.45453,1.06407,0.91244,0.77055,0.8235,0.66233,0.91408,0.77244,0.8287,0.57771,0.77406,2.05397,0.88329,1.17795,0.00084336,0.00084336,0.00084336
75,767.602,0.49606,0.88431,0.44575,1.05001,0.91271,0.75728,0.8175,0.68353,0.91811,0.76027,0.82968,0.60492,0.69784,1.79256,0.84541,1.08207,0.000839694,0.000839694,0.000839694
76,777.771,0.51404,0.93516,0.47097,1.06299,0.8553,0.76688,0.78061,0.63795,0.86893,0.75891,0.79047,0.559,0.76528,1.91201,1.0525,1.16027,0.000836027,0.000836027,0.000836027
77,787.993,0.51366,0.93397,0.46835,1.0726,0.87519,0.76657,0.81026,0.67202,0.92441,0.74892,0.80784,0.5937,0.67712,2.00998,0.91998,1.05155,0.000832361,0.000832361,0.000832361
78,798.194,0.49286,0.88201,0.43555,1.04801,0.89538,0.73071,0.79569,0.65957,0.90938,0.74213,0.81017,0.56459,0.76687,2.28504,0.91687,1.14649,0.000828695,0.000828695,0.000828695
79,808.375,0.49836,0.88544,0.44838,1.06084,0.90595,0.71778,0.74233,0.62899,0.91093,0.72134,0.75315,0.54535,0.76604,2.10025,1.18773,1.1385,0.000825029,0.000825029,0.000825029
80,818.517,0.50421,0.92795,0.45039,1.06143,0.91909,0.7587,0.80975,0.6657,0.94517,0.75661,0.81913,0.59826,0.72951,1.98564,0.86912,1.1316,0.000821362,0.000821362,0.000821362
81,828.684,0.50624,0.90682,0.4442,1.05733,0.90641,0.75457,0.80062,0.66545,0.88219,0.7726,0.8028,0.58855,0.71009,2.02833,0.97729,1.10118,0.000817696,0.000817696,0.000817696
82,838.871,0.49619,0.87853,0.43082,1.05676,0.9112,0.75393,0.81273,0.67058,0.9157,0.75766,0.80914,0.59775,0.72191,1.91787,0.86617,1.1147,0.00081403,0.00081403,0.00081403
83,849.066,0.49606,0.85863,0.43794,1.04642,0.89723,0.77247,0.79921,0.66264,0.91239,0.77237,0.80444,0.59198,0.67983,1.89053,1.65026,1.06461,0.000810363,0.000810363,0.000810363
84,859.276,0.4928,0.89171,0.4458,1.05365,0.91793,0.7564,0.81033,0.67312,0.92846,0.76859,0.81912,0.59657,0.73049,1.87085,0.92588,1.10567,0.000806697,0.000806697,0.000806697
85,869.374,0.48551,0.87757,0.42197,1.0502,0.90588,0.76638,0.81157,0.67385,0.90671,0.76486,0.8137,0.59485,0.70966,1.8053,0.90982,1.07873,0.000803031,0.000803031,0.000803031
86,879.573,0.48429,0.8901,0.42991,1.04267,0.90144,0.7458,0.81022,0.68092,0.9026,0.7665,0.82197,0.61299,0.67401,1.84966,0.83954,1.04584,0.000799365,0.000799365,0.000799365
87,889.8,0.47796,0.83534,0.41013,1.03842,0.89997,0.77225,0.82736,0.68434,0.90441,0.7874,0.83216,0.61559,0.68535,1.89621,0.79181,1.05732,0.000795698,0.000795698,0.000795698
88,900.258,0.48187,0.89524,0.42283,1.03938,0.86951,0.77304,0.81387,0.67601,0.88135,0.77686,0.8219,0.59894,0.71001,1.98053,0.87881,1.07145,0.000792032,0.000792032,0.000792032
89,910.461,0.48228,0.85824,0.41186,1.04047,0.90477,0.77048,0.80875,0.67781,0.90883,0.77459,0.81205,0.59732,0.66238,2.27948,0.8373,1.03624,0.000788366,0.000788366,0.000788366
90,920.733,0.49455,0.91653,0.43768,1.04798,0.88271,0.75716,0.81191,0.67385,0.90298,0.74944,0.80979,0.58901,0.72933,2.18322,0.90061,1.08719,0.000784699,0.000784699,0.000784699
91,930.889,0.48011,0.86196,0.43407,1.04231,0.88814,0.7516,0.80237,0.67565,0.89207,0.75999,0.80243,0.5963,0.7119,1.90942,0.87793,1.07402,0.000781033,0.000781033,0.000781033
92,941.001,0.47561,0.84418,0.41706,1.02911,0.90006,0.72704,0.79715,0.66529,0.87923,0.75293,0.79819,0.58948,0.72395,2.16477,0.87153,1.1034,0.000777367,0.000777367,0.000777367
93,951.212,0.48364,0.87289,0.42822,1.03903,0.89502,0.75527,0.80759,0.66747,0.89324,0.76722,0.81048,0.59394,0.73551,2.12062,0.87977,1.1068,0.0007737,0.0007737,0.0007737
94,961.412,0.47861,0.86426,0.41738,1.04056,0.89763,0.76474,0.80789,0.67765,0.913,0.77799,0.82243,0.60353,0.75073,1.8953,0.80557,1.14679,0.000770034,0.000770034,0.000770034
95,971.607,0.47241,0.81398,0.40879,1.03752,0.88429,0.77048,0.80241,0.67107,0.90193,0.7614,0.79787,0.57437,0.73745,2.02523,0.86262,1.10872,0.000766368,0.000766368,0.000766368
96,981.817,0.49046,0.87073,0.43398,1.05109,0.90308,0.76663,0.81165,0.68083,0.89027,0.77834,0.8087,0.59258,0.70853,1.93317,0.85844,1.04685,0.000762702,0.000762702,0.000762702
97,991.984,0.48639,0.87614,0.42847,1.04398,0.91545,0.76095,0.81825,0.67273,0.91773,0.7629,0.82169,0.59426,0.77127,2.12805,0.86863,1.18523,0.000759035,0.000759035,0.000759035
98,1002.17,0.48168,0.83582,0.4141,1.04399,0.9035,0.76042,0.81178,0.67744,0.91225,0.76799,0.82318,0.60942,0.69019,1.76587,0.80769,1.06602,0.000755369,0.000755369,0.000755369
99,1012.56,0.49019,0.84305,0.42308,1.05232,0.90165,0.74775,0.79469,0.66724,0.90505,0.74781,0.79891,0.57405,0.71563,2.30166,1.01506,1.08283,0.000751703,0.000751703,0.000751703
100,1022.8,0.48339,0.86274,0.43231,1.047,0.90658,0.7629,0.79528,0.66663,0.91025,0.76859,0.80239,0.58964,0.6951,2.32127,0.92004,1.06504,0.000748036,0.000748036,0.000748036
